101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：新北市,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
新莊區,海山里,1712,1343741,785,581,340,970,737.46,93.96
新莊區,全安里,1398,1189689,851,626,366,1082,784.59,92.2
新莊區,文衡里,710,636231,896,642,378,1068,943.89,105.33
新莊區,興漢里,1150,941867,819,570,340,986,1053.85,128.67
新莊區,榮和里,950,866294,912,563,325,1000,2326.09,255.08
新莊區,文德里,526,473769,901,644,390,1108,1028.11,114.14
新莊區,文明里,567,535744,945,605,332,1077,1448.55,153.31
新莊區,中港里,2049,1760554,859,594,372,1043,927.61,107.96
新莊區,頭前里,1565,1286725,822,575,336,968,978.79,119.05
新莊區,丹鳳里,2376,1650893,695,547,352,866,591.13,85.08
新莊區,西盛里,3419,2724707,797,607,359,992,797.44,100.06
新莊區,瓊林里,1713,1223944,715,515,330,876,740.04,103.57
新莊區,營盤里,821,658202,802,565,320,975,818.75,102.13
新莊區,後港里,2293,1724127,752,550,341,961,720.46,95.82
新莊區,國泰里,510,396581,778,557,342,932,950.51,122.24
新莊區,立人里,732,721557,986,650,379,1235,1136.15,115.26
新莊區,恆安里,1360,1130997,832,620,358,1086,747.88,89.93
新莊區,思源里,1732,1335905,771,557,340,925,776.67,100.7
新莊區,化成里,1100,863381,785,556,343,904,837.86,106.75
新莊區,福基里,1043,969723,930,644,363,1135,1085.32,116.73
新莊區,思賢里,1289,1035589,803,582,365,1018,699.22,87.03
新莊區,中美里,1714,1407944,821,570,351,961,1190,144.87
新莊區,中和里,1434,1165036,812,535,325,907,1393.61,171.53
新莊區,中泰里,1242,810386,652,508,314,843,520.83,79.82
新莊區,立言里,1743,1393626,800,571,347,979,771.74,96.52
新莊區,立功里,1014,649378,640,501,325,824,511.72,79.9
新莊區,立德里,851,844222,992,674,361,1160,1488.79,150.07
新莊區,豐年里,1123,788229,702,532,340,837,929.04,132.36
新莊區,忠孝里,1544,1222278,792,557,339,957,781.28,98.69
新莊區,立志里,1191,938505,788,561,369,901,814.9,103.41
新莊區,中誠里,689,639590,928,531,331,911,3329.67,358.69
新莊區,自立里,1509,1049346,695,515,334,840,678.92,97.63
新莊區,自強里,658,393675,598,485,322,718,465.57,77.82
新莊區,幸福里,1275,783059,614,497,324,745,462.83,75.36
新莊區,仁愛里,794,462146,582,471,304,745,435.59,74.84
新莊區,信義里,1693,1225118,724,540,342,871,683.81,94.5
新莊區,龍鳳里,2378,2046808,861,617,369,1094,937.22,108.89
新莊區,民安里,1750,1303249,745,566,341,960,688.18,92.41
新莊區,光華里,2055,1507306,733,556,343,887,1156.7,157.7
新莊區,富國里,786,478810,609,503,332,762,432.08,70.93
新莊區,裕民里,2031,1408618,694,517,327,842,774.71,111.7
新莊區,南港里,1641,1170021,713,548,336,871,669.96,93.96
新莊區,萬安里,1177,770616,655,526,342,791,541.25,82.67
新莊區,八德里,952,612523,643,497,328,791,590.82,91.83
新莊區,民本里,920,529022,575,473,303,696,469.51,81.65
新莊區,光榮里,1247,896726,719,559,346,897,660.65,91.87
新莊區,光明里,1317,886072,673,512,334,815,618.58,91.94
新莊區,合鳳里,1326,818036,617,490,318,769,522.49,84.69
新莊區,雙鳳里,3301,2920620,885,648,380,1086,1252.83,141.6
新莊區,和平里,1585,1086081,685,535,340,849,602.75,87.96
新莊區,自信里,722,581748,806,568,354,959,806.42,100.08
新莊區,全泰里,1797,1729561,962,640,379,1154,1998.27,207.62
新莊區,立泰里,1575,1207014,766,569,348,980,663.27,86.55
新莊區,立基里,2077,2028280,977,629,373,1126,1613.3,165.21
新莊區,中宏里,1118,888297,795,582,372,980,713.85,89.84
新莊區,中全里,1050,688427,656,482,321,776,633.43,96.61
新莊區,中華里,834,722092,866,593,351,1098,820.32,94.74
新莊區,中隆里,1310,1151799,879,620,371,1067,998.25,113.54
新莊區,中原里,2830,2289287,809,603,365,1031,685.71,84.77
新莊區,中信里,2653,2131104,803,578,373,1015,712.66,88.72
新莊區,仁義里,1120,699046,624,493,323,787,503.38,80.65
新莊區,建福里,860,539743,628,502,327,815,486.54,77.52
新莊區,四維里,1312,849658,648,518,336,809,516.16,79.7
新莊區,文聖里,1224,1080405,883,615,365,1085,1056.18,119.66
新莊區,福營里,811,601895,742,522,303,888,831.26,112.01
新莊區,後德里,1039,937046,902,602,347,1039,1669.68,185.13
新莊區,建安里,2012,1575465,783,591,360,1018,692.67,88.46
新莊區,龍安里,738,473936,642,480,309,802,582.68,90.73
新莊區,昌平里,1359,1220696,898,670,399,1138,904.8,100.73
新莊區,昌明里,1093,887584,812,551,355,967,845.68,104.14
新莊區,成德里,1422,982553,691,545,334,856,595.96,86.25
新莊區,福興里,1691,1367481,809,579,351,986,865.49,107.03
新莊區,昌信里,1081,1047649,969,689,395,1257,940.32,97.03
新莊區,昌隆里,1352,1247336,923,677,379,1175,904.01,97.99
新莊區,中平里,2611,2587639,991,710,424,1269,1018.78,102.8
新莊區,立廷里,3538,3747962,1059,827,451,1405,918.12,86.67
新莊區,泰豐里,688,525028,763,571,360,930,650.83,85.28
新莊區,富民里,1070,721682,674,534,336,875,538.13,79.79
新莊區,龍福里,647,486855,752,594,385,997,575.89,76.53
新莊區,祥鳳里,671,506871,755,555,360,908,811.04,107.37
新莊區,民全里,1099,790342,719,567,355,915,626.07,87.06
新莊區,民有里,1181,838362,710,552,360,887,607.89,85.63
新莊區,光正里,1245,990818,796,596,370,961,810.17,101.8
新莊區,光和里,785,470499,599,512,317,770,409.47,68.32
新莊區,其　他,32,28899,903,653,324,1147,878.16,97.24
新莊區,合　計,116602,92300325,792,572,351,965,946.03,119.51
林口區,東林里,1321,946165,716,539,344,859,785.6,109.68
林口區,林口里,1463,1115476,762,554,344,949,776.84,101.89
林口區,西林里,2506,2809674,1121,727,405,1349,1249.56,111.45
林口區,湖北里,440,343197,780,573,380,995,671.43,86.08
林口區,菁湖里,1438,1566565,1089,704,380,1383,1248.81,114.63
林口區,湖南里,4849,5533724,1141,844,473,1447,1547.56,135.61
林口區,南勢里,4417,5557848,1258,925,501,1609,1386.92,110.22
林口區,頂福里,318,217773,685,517,324,788,647.67,94.58
林口區,下福里,360,290733,808,603,362,1001,1214.72,150.41
林口區,嘉寶里,224,170408,761,545,336,930,773.26,101.64
林口區,瑞平里,199,137368,690,541,368,872,535.28,77.54
林口區,太平里,369,245084,664,517,338,840,574.29,86.47
林口區,中湖里,966,841154,871,587,368,1015,1020.74,117.22
林口區,東勢里,1897,1835044,967,656,395,1193,1424.1,147.22
林口區,仁愛里,1951,2463689,1263,885,455,1558,1567.94,124.17
林口區,麗林里,2375,2812454,1184,884,500,1551,1153.06,97.37
林口區,麗園里,1196,1203942,1007,612,358,1112,1713.91,170.26
林口區,其　他,7,4398,628,514,379,641,440.45,70.11
林口區,合　計,26296,28094696,1068,735,416,1319,1327.21,124.22
五股區,興珍里,1753,1434898,819,508,303,891,2226.28,271.98
五股區,更寮里,339,245663,725,548,334,844,740.41,102.17
五股區,集福里,1039,706190,680,537,325,842,572.64,84.25
五股區,觀音里,307,201064,655,498,326,763,625.12,95.45
五股區,成州里,1404,894679,637,499,312,794,690.46,108.35
五股區,五股里,1140,867323,761,537,344,852,922.16,121.21
五股區,五龍里,394,253727,644,459,265,799,649.3,100.83
五股區,德音里,1551,1691818,1091,619,367,1097,3866.76,354.49
五股區,貿商里,783,611729,781,608,349,1008,736.44,94.26
五股區,陸一里,440,311201,707,558,338,888,618.42,87.44
五股區,成功里,1493,965457,647,513,326,789,567.13,87.7
五股區,五福里,1059,706030,667,495,304,816,813.74,122.06
五股區,成德里,722,437576,606,486,305,733,494.93,81.66
五股區,德泰里,1305,1442343,1105,593,356,935,12747.55,1153.37
五股區,六福里,994,710751,715,571,349,898,581.19,81.28
五股區,集賢里,1049,635558,606,499,319,757,477.49,78.81
五股區,民義里,875,638297,729,539,342,878,895.35,122.74
五股區,成泰里,1475,1073465,728,556,340,884,773.85,106.33
五股區,水碓里,2184,1676048,767,561,359,936,821.41,107.04
五股區,福德里,852,608660,714,583,344,924,522.65,73.16
五股區,其　他,9,8375,931,707,317,1003,920.05,98.87
五股區,合　計,21167,16120852,762,540,332,878,3453.73,453.48
蘆洲區,樓厝里,1770,1388590,785,589,359,961,722.42,92.08
蘆洲區,保和里,762,540683,710,518,317,850,657.38,92.65
蘆洲區,得勝里,932,665762,714,502,319,819,943.85,132.13
蘆洲區,仁復里,553,521605,943,576,360,937,2989.13,316.9
蘆洲區,溪墘里,930,679751,731,563,343,902,649.4,88.85
蘆洲區,中路里,1154,808404,701,547,351,860,599.75,85.61
蘆洲區,正義里,3411,3757401,1102,811,442,1477,1026.81,93.22
蘆洲區,水湳里,2982,2543923,853,600,362,1049,1196.3,140.23
蘆洲區,保佑里,1027,710650,692,521,322,839,612.15,88.47
蘆洲區,樹德里,978,750993,768,578,350,897,828.19,107.85
蘆洲區,中原里,1526,1149023,753,532,331,921,823.66,109.39
蘆洲區,恆德里,1797,1476427,822,581,354,1010,796.98,97
蘆洲區,光華里,1457,1128186,774,567,344,930,925.73,119.55
蘆洲區,鷺江里,1568,1359996,867,573,359,999,1237.5,142.68
蘆洲區,南港里,1488,1097725,738,556,358,912,637.61,86.43
蘆洲區,永樂里,1705,1384529,812,590,368,993,1150.8,141.72
蘆洲區,永康里,1859,1405433,756,581,358,965,641.78,84.89
蘆洲區,信義里,1138,757573,666,497,321,782,888.97,133.54
蘆洲區,玉清里,1654,1429710,864,591,349,1036,1126.01,130.27
蘆洲區,復興里,976,629991,645,520,331,771,536.68,83.14
蘆洲區,水河里,2622,1959917,747,556,340,914,787.29,105.33
蘆洲區,仁愛里,1516,1105839,729,548,348,882,633.56,86.86
蘆洲區,忠義里,813,583748,718,549,349,874,660.21,91.95
蘆洲區,九芎里,1473,1012032,687,540,335,845,580.88,84.55
蘆洲區,中華里,966,676451,700,493,303,781,1134.76,162.05
蘆洲區,得仁里,958,661894,691,522,321,818,647.77,93.76
蘆洲區,仁德里,1649,1241945,753,530,338,866,965.59,128.21
蘆洲區,仁義里,999,743538,744,573,357,943,610.5,82.03
蘆洲區,光明里,1346,1032404,767,571,364,910,784.19,102.24
蘆洲區,保新里,727,479189,659,503,333,796,577.01,87.54
蘆洲區,長安里,1322,912157,690,523,339,835,650.87,94.33
蘆洲區,民和里,786,530412,675,518,320,826,631.84,93.63
蘆洲區,忠孝里,681,495057,727,566,366,851,634.66,87.3
蘆洲區,福安里,934,642042,687,528,324,885,571.05,83.07
蘆洲區,永安里,1421,1010002,711,558,348,870,611.43,86.02
蘆洲區,延平里,1077,798836,742,581,361,932,613.63,82.73
蘆洲區,成功里,1940,1497160,772,575,363,945,725.13,93.96
蘆洲區,永德里,1203,854232,710,543,340,880,847.48,119.35
蘆洲區,其　他,30,20902,697,526,323,819,608.66,87.36
蘆洲區,合　計,52130,40444111,776,564,350,936,897.75,115.71
三重區,二重里,520,314744,605,488,281,766,612.09,101.13
三重區,五谷里,652,553757,849,583,363,969,1419.19,167.1
三重區,德厚里,109,82859,760,513,292,933,795.43,104.64
三重區,福祉里,1765,1590190,901,643,380,1160,866.02,96.12
三重區,過田里,1984,1663313,838,587,351,1020,1160.98,138.48
三重區,溪美里,2276,1721140,756,559,346,945,697.72,92.26
三重區,厚德里,1071,880764,822,593,366,1032,756.97,92.05
三重區,慈化里,710,491696,693,517,320,842,1013.75,146.38
三重區,永安里,1135,815521,719,540,326,877,660.01,91.86
三重區,六合里,1085,727025,670,532,316,842,571.38,85.27
三重區,福利里,718,665111,926,636,364,1107,1167.84,126.07
三重區,永興里,457,375915,823,618,346,1092,736.73,89.56
三重區,清和里,1289,1175774,912,641,390,1158,870.38,95.42
三重區,仁德里,568,425673,749,511,310,814,1278.25,170.56
三重區,開元里,411,274717,668,555,361,800,512.43,76.66
三重區,大德里,268,207589,775,544,347,880,1074.39,138.71
三重區,錦通里,415,254313,613,464,274,733,586.53,95.71
三重區,光華里,556,431313,776,566,324,924,741.95,95.64
三重區,光榮里,449,377782,841,571,336,1040,928.95,110.41
三重區,大園里,725,512331,707,525,333,871,675.78,95.63
三重區,長生里,264,199039,754,577,321,1038,645.42,85.61
三重區,長安里,600,436798,728,531,333,831,797.7,109.58
三重區,同安里,351,220598,628,486,310,756,580.82,92.42
三重區,光明里,2268,2018537,890,605,355,1067,1053.07,118.32
三重區,菜寮里,612,428643,700,532,342,818,632.05,90.24
三重區,大同里,612,424805,694,510,313,896,591.94,85.28
三重區,長泰里,633,413939,654,502,327,830,608.19,93.01
三重區,長元里,704,466271,662,507,322,785,573.21,86.55
三重區,介壽里,366,258596,707,515,341,871,643.94,91.14
三重區,三安里,867,627276,724,539,328,877,796.32,110.06
三重區,文化里,702,540980,771,548,326,871,1074.29,139.4
三重區,正義里,564,473382,839,569,346,931,1975.79,235.4
三重區,中正里,400,285305,713,526,337,848,632.58,88.69
三重區,仁義里,300,225763,753,523,335,902,762.18,101.28
三重區,長江里,525,427095,814,570,347,1004,840.4,103.31
三重區,錦江里,609,397665,653,487,309,755,722.94,110.71
三重區,龍門里,514,977777,1902,509,322,873,26586.05,1397.58
三重區,大安里,443,283046,639,483,302,804,542.75,84.95
三重區,光正里,732,806898,1102,699,418,1306,1199.42,108.81
三重區,重新里,463,322184,696,555,350,864,582.43,83.7
三重區,民生里,1199,811451,677,524,335,836,715.36,105.7
三重區,中山里,837,688441,823,529,333,935,926.38,112.63
三重區,國隆里,782,603405,772,573,348,944,729.03,94.48
三重區,重陽里,1032,804678,780,549,331,916,1701.26,218.19
三重區,幸福里,1333,1034311,776,515,314,853,1654.44,213.22
三重區,福安里,871,662835,761,541,348,956,730.48,95.99
三重區,信安里,615,459754,748,585,364,987,572.26,76.55
三重區,安慶里,572,366407,641,515,334,811,498.24,77.78
三重區,順德里,583,355784,610,488,294,759,503.53,82.51
三重區,承德里,469,327775,699,550,369,861,550.89,78.82
三重區,瑞德里,572,388388,679,535,329,837,607,89.4
三重區,崇德里,1010,661572,655,514,328,853,506.84,77.38
三重區,尚德里,917,618278,674,512,318,810,611.02,90.62
三重區,培德里,1090,927667,851,554,339,974,1348.74,158.48
三重區,自強里,525,354518,675,516,306,831,612.06,90.64
三重區,大有里,1791,1263015,705,511,311,886,672.65,95.38
三重區,頂崁里,811,663979,819,543,334,946,1426.02,174.18
三重區,谷王里,298,225045,755,543,351,928,695.63,92.11
三重區,中興里,1308,1010174,772,527,321,900,901.67,116.75
三重區,成功里,1951,1739604,892,666,382,1182,750.55,84.18
三重區,重明里,1006,1028628,1022,649,375,1205,1297.55,126.9
三重區,光田里,1417,1189949,840,590,353,1032,863.61,102.84
三重區,田心里,1179,844187,716,509,321,858,1419.4,198.23
三重區,福隆里,1360,1239324,911,578,349,1020,4493.42,493.1
三重區,五常里,1249,818251,655,521,318,824,531.08,81.07
三重區,慈生里,613,381454,622,490,310,759,567.53,91.2
三重區,碧華里,2138,2362514,1105,769,427,1381,1317.38,119.22
三重區,永德里,1319,907286,688,522,342,833,594.41,86.41
三重區,永福里,1499,1068560,713,522,329,836,689.12,96.67
三重區,福星里,235,154417,657,537,330,836,502.23,76.43
三重區,錦安里,502,349416,696,536,351,868,564.3,81.07
三重區,光輝里,472,359484,762,514,323,842,1009.54,132.55
三重區,同慶里,515,442442,859,622,374,1038,868.25,101.06
三重區,永春里,578,419717,726,561,344,929,629.63,86.71
三重區,中民里,374,235630,630,495,319,783,512.15,81.29
三重區,長福里,447,309029,691,528,327,885,556.36,80.48
三重區,奕壽里,528,379944,720,523,323,909,672.74,93.49
三重區,萬壽里,579,453186,783,562,349,949,765.83,97.84
三重區,中央里,439,317722,724,581,371,920,573.06,79.18
三重區,雙園里,298,264296,887,555,367,945,2626.86,296.18
三重區,正安里,597,433304,726,540,341,874,667.81,92.01
三重區,吉利里,407,249994,614,489,315,752,496.93,80.9
三重區,忠孝里,470,329508,701,523,322,878,673.07,96
三重區,秀江里,377,288584,765,551,312,921,1302.27,170.13
三重區,龍濱里,894,657307,735,534,327,859,747.08,101.61
三重區,平和里,394,226601,575,461,317,712,426.27,74.12
三重區,正德里,317,234725,740,503,300,898,793.66,107.19
三重區,五福里,1124,916998,816,604,378,1058,688.9,84.44
三重區,富華里,978,760314,777,561,357,949,810.11,104.2
三重區,田安里,1860,1476240,794,577,345,975,734.89,92.59
三重區,慈惠里,610,371738,609,492,320,785,482.05,79.1
三重區,慈福里,607,359181,592,493,319,737,488.94,82.63
三重區,永盛里,875,578462,661,517,317,842,638.89,96.64
三重區,福民里,985,738717,750,543,336,881,1237.28,164.98
三重區,田中里,1895,1430496,755,560,343,931,714.54,94.66
三重區,永清里,1589,1102052,694,541,341,834,617.34,89.01
三重區,維德里,857,617495,721,514,339,890,966.96,134.2
三重區,五華里,1445,1333050,923,634,368,1132,959.91,104.05
三重區,永煇里,715,436537,611,493,327,751,510.87,83.68
三重區,三民里,977,763724,782,572,352,975,749.18,95.84
三重區,錦田里,654,955728,1461,562,338,983,10810.85,739.78
三重區,慈祐里,1348,975730,724,535,339,886,660.32,91.23
三重區,六福里,1669,1093971,655,524,329,805,523.89,79.93
三重區,光陽里,2069,1800167,870,584,355,1050,1052.45,120.96
三重區,福田里,1140,828357,727,525,317,906,709.47,97.64
三重區,富福里,594,404711,681,492,302,798,967.3,141.97
三重區,仁忠里,825,485761,589,488,308,742,436.2,74.08
三重區,富貴里,1878,2037535,1085,679,387,1290,1974.26,181.97
三重區,慈愛里,1011,609461,603,509,315,754,453.41,75.21
三重區,福德里,1180,910013,771,555,331,970,748.54,97.06
三重區,永豐里,1560,1105921,709,533,342,880,715.37,100.91
三重區,博愛里,1384,963678,696,522,335,873,595.62,85.54
三重區,永吉里,878,600323,684,545,338,842,553.48,80.95
三重區,永順里,1315,840117,639,491,316,791,583.28,91.3
三重區,永發里,2094,1665391,795,578,344,992,772.92,97.18
三重區,立德里,999,801884,803,562,335,959,1142.35,142.32
三重區,福樂里,1024,648003,633,495,307,794,535.56,84.63
三重區,仁華里,1265,931649,736,552,331,944,612.83,83.21
三重區,五順里,1015,643505,634,498,322,812,492.97,77.76
三重區,其　他,59,31726,538,419,293,522,533.59,99.23
三重區,合　計,106939,82907299,775,549,338,924,2275.32,293.48
泰山區,黎明里,1010,771331,764,609,373,989,635.21,83.18
泰山區,大科里,265,187523,708,515,319,1003,552.7,78.11
泰山區,山腳里,2069,1538532,744,551,352,911,704.42,94.73
泰山區,楓樹里,1281,1041143,813,596,360,1003,1067.92,131.39
泰山區,同榮里,1283,1013911,790,584,358,971,752.05,95.16
泰山區,義學里,1348,1002652,744,578,336,907,702.12,94.39
泰山區,明志里,1230,946793,770,541,332,923,832.99,108.22
泰山區,貴子里,1266,1085228,857,618,360,1058,852.96,99.5
泰山區,貴和里,1652,1325976,803,584,345,958,2210.25,275.37
泰山區,福泰里,849,558494,658,513,315,799,622.15,94.58
泰山區,同興里,1259,1213292,964,649,382,1168,1832,190.1
泰山區,義仁里,2194,1766510,805,612,379,1033,690.93,85.81
泰山區,泰友里,657,475282,723,568,363,933,548.15,75.77
泰山區,新明里,1024,715431,699,560,358,868,580.19,83.04
泰山區,貴賢里,1256,1125883,896,613,369,1124,861.17,96.07
泰山區,福興里,1128,975178,865,667,389,1128,740.51,85.66
泰山區,全興里,2743,2799739,1021,805,475,1340,810.06,79.36
泰山區,其　他,6,8901,1483,1206,775,2332,957.72,64.56
泰山區,合　計,22520,18551799,824,607,367,1035,1030.6,125.1
新店區,張北里,2204,2243313,1018,653,377,1223,1316.82,129.37
新店區,張南里,702,820454,1169,713,402,1332,3078.83,263.43
新店區,廣明里,243,173320,713,548,350,922,567.5,79.56
新店區,江陵里,2071,2971734,1435,786,417,1675,2557.27,178.22
新店區,百忍里,1335,1216510,911,635,385,1150,939.07,103.05
新店區,青潭里,1752,1453817,830,626,365,1061,740.1,89.19
新店區,員潭里,1378,1086222,788,614,386,1051,613.89,77.88
新店區,雙坑里,157,99404,633,531,323,736,556.82,87.94
新店區,粗坑里,973,1094400,1125,664,378,1268,2902.77,258.08
新店區,屈尺里,642,480985,749,552,341,935,663.06,88.5
新店區,廣興里,299,202586,678,517,317,791,635.52,93.8
新店區,龜山里,430,312115,726,475,313,863,1108.22,152.68
新店區,直潭里,308,270942,880,574,330,1004,1008.99,114.7
新店區,塗潭里,200,204724,1024,468,293,749,5447.7,532.2
新店區,公崙里,3412,3170857,929,670,383,1162,983.79,105.86
新店區,柴埕里,2644,2346812,888,644,373,1136,882.44,99.42
新店區,雙城里,1496,1035301,692,542,344,873,585.89,84.66
新店區,頂城里,369,258509,701,537,340,824,664.85,94.9
新店區,下城里,943,2244358,2380,860,417,2239,7123.52,299.31
新店區,文中里,598,598987,1002,662,386,1225,1249.43,124.74
新店區,國校里,811,735721,907,629,348,1142,1323.37,145.88
新店區,新生里,2064,2440009,1182,713,401,1380,2580.24,218.26
新店區,中興里,2012,2022329,1005,687,388,1265,1154.83,114.89
新店區,新安里,1583,1584927,1001,681,360,1257,1153.74,115.23
新店區,文明里,789,1090692,1382,563,331,1007,9967.68,721.06
新店區,寶興里,1887,2782027,1474,735,389,1534,6035.93,409.41
新店區,寶安里,2090,2122694,1016,656,378,1263,1175.41,115.73
新店區,信義里,2327,2564834,1102,692,379,1374,2678.83,243.04
新店區,忠孝里,939,788251,839,607,368,1057,772.54,92.03
新店區,大鵬里,962,1042442,1084,758,431,1409,1180.33,108.92
新店區,大豐里,1300,1301572,1001,662,367,1289,1263.06,126.15
新店區,明德里,1406,1389169,988,690,390,1266,990.98,100.3
新店區,中山里,1904,2950131,1549,995,496,1901,2159.07,139.35
新店區,和平里,221,142174,643,502,288,783,598.04,92.96
新店區,仁愛里,738,684516,928,636,360,1172,1014.88,109.42
新店區,中正里,2131,2057721,966,673,398,1226,970.76,100.53
新店區,美潭里,1709,1512027,885,644,372,1134,905.94,102.4
新店區,德安里,1755,1386500,790,572,367,965,764.28,96.74
新店區,太平里,993,892795,899,616,363,1100,1099.5,122.29
新店區,中央里,2144,3241499,1512,894,444,1862,2446.3,161.8
新店區,百和里,1139,1069352,939,656,377,1209,944.69,100.62
新店區,福德里,1333,1170561,878,631,359,1090,882.68,100.52
新店區,福民里,1360,1428275,1050,709,397,1308,1175.4,111.92
新店區,百福里,968,876483,905,672,374,1162,843.98,93.21
新店區,國豐里,1188,1092439,920,629,374,1162,901.2,98
新店區,新德里,891,759887,853,571,344,1035,1169.82,137.17
新店區,五峰里,2548,2708175,1063,670,378,1249,2378.42,223.77
新店區,中華里,1158,1092755,944,614,368,1120,1958.9,207.59
新店區,忠誠里,949,932836,983,703,395,1281,1012.26,102.98
新店區,永安里,1572,1101298,701,544,341,871,588.38,83.99
新店區,新店里,582,475353,817,581,367,1034,733.18,89.77
新店區,大同里,1456,1628248,1118,696,400,1310,2303.07,205.94
新店區,玫瑰里,1750,1290458,737,570,354,932,738.13,100.1
新店區,日興里,1516,1039480,686,516,322,842,768.89,112.14
