101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：高雄市,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
鹽埕區,藍橋里,370,291633,788,630,351,1000,712.97,90.46
鹽埕區,慈愛里,95,81247,855,526,326,800,1396.02,163.23
鹽埕區,博愛里,152,105410,693,465,296,817,729.81,105.24
鹽埕區,陸橋里,308,250977,815,608,354,917,1023.21,125.57
鹽埕區,壽星里,356,297828,837,584,341,1002,845.28,101.04
鹽埕區,中山里,409,395879,968,597,350,960,1318.63,136.23
鹽埕區,瀨南里,176,226222,1285,561,310,1094,3706.26,288.35
鹽埕區,新樂里,317,280973,886,592,310,1097,1060.9,119.69
鹽埕區,教仁里,669,1129047,1688,556,318,931,17679.77,1047.59
鹽埕區,中原里,218,162063,743,528,284,890,1121.78,150.9
鹽埕區,府北里,388,254504,656,468,270,790,864.07,131.73
鹽埕區,育仁里,251,211392,842,568,332,966,1023.59,121.54
鹽埕區,光明里,409,354986,868,586,302,1057,858.93,98.96
鹽埕區,江西里,338,318824,943,593,354,1149,1231.51,130.56
鹽埕區,港都里,296,227504,769,533,297,887,879.78,114.47
鹽埕區,新化里,166,107975,650,505,310,776,549.22,84.44
鹽埕區,江南里,199,189490,952,560,321,967,1266.46,133
鹽埕區,河濱里,615,616597,1003,587,327,1115,1977.93,197.28
鹽埕區,南端里,308,316146,1026,529,312,988,4083.96,397.87
鹽埕區,沙地里,219,371294,1695,607,339,1041,7808.84,460.59
鹽埕區,新豐里,230,208918,908,589,328,1019,1388.11,152.82
鹽埕區,其　他,2,717,358,358,338,378,56.44,15.75
鹽埕區,合　計,6491,6399626,986,566,320,977,6047.97,613.43
鼓山區,前峰里,1396,1182704,847,634,352,1064,831.49,98.15
鼓山區,光榮里,1067,771149,723,528,322,886,750.72,103.87
鼓山區,民族里,379,264737,699,544,287,895,595.51,85.25
鼓山區,自強里,200,160505,803,623,331,1094,783.94,97.68
鼓山區,建國里,737,608332,825,581,331,965,1054.08,127.7
鼓山區,內惟里,283,215164,760,560,351,951,725.72,95.45
鼓山區,忠正里,1077,852619,792,542,324,913,1553.95,196.29
鼓山區,龍井里,355,234564,661,514,304,803,583.23,88.27
鼓山區,平和里,1146,859031,750,543,315,942,750.56,100.13
鼓山區,龍子里,5034,5684553,1129,804,453,1437,1166.53,103.3
鼓山區,鼓岩里,302,173025,573,478,275,789,447.79,78.16
鼓山區,樹德里,333,244349,734,533,327,966,623.35,84.95
鼓山區,寶樹里,275,187098,680,480,353,835,608.91,89.5
鼓山區,綠川里,353,234038,663,529,349,878,461.72,69.64
鼓山區,河邊里,390,283950,728,529,323,876,754.64,103.65
鼓山區,興宗里,355,241859,681,530,308,822,576.16,84.57
鼓山區,光化里,303,193183,638,480,294,776,644.29,101.05
鼓山區,山下里,375,282712,754,585,353,916,663.2,87.97
鼓山區,登山里,174,144227,829,523,316,799,1091.03,131.63
鼓山區,峰南里,218,134812,618,437,268,770,583.39,94.34
鼓山區,維生里,413,504960,1223,585,336,1106,2845.57,232.74
鼓山區,延平里,278,206317,742,501,303,871,802.26,108.1
鼓山區,新民里,264,169750,643,476,321,805,598.77,93.12
鼓山區,惠安里,362,308106,851,509,278,831,2358.78,277.14
鼓山區,壽山里,360,272286,756,504,319,797,1019.66,134.81
鼓山區,哨船頭里,280,220293,787,529,318,976,781.2,99.29
鼓山區,桃源里,188,166407,885,588,345,1157,797.82,90.13
鼓山區,正德里,555,406443,732,583,330,911,631.18,86.19
鼓山區,厚生里,887,635133,716,554,329,936,613.24,85.64
鼓山區,明誠里,5430,5473567,1008,755,408,1278,1097.94,108.92
鼓山區,民強里,817,551193,675,526,339,843,554.64,82.21
鼓山區,裕豐里,912,915111,1003,667,369,1220,1164.41,116.04
鼓山區,華豐里,1307,1243731,952,649,380,1120,1168.39,122.78
鼓山區,雄峰里,558,365992,656,530,310,825,551.75,84.12
鼓山區,鼓峰里,507,324680,640,522,340,821,457.2,71.39
鼓山區,麗興里,275,272641,991,523,311,925,2120.71,213.91
鼓山區,龍水里,6674,9290323,1392,918,481,1643,2433.75,174.84
鼓山區,裕興里,963,805554,837,591,343,1039,764.36,91.38
鼓山區,其　他,12,11793,983,592,326,901,1219.8,124.12
鼓山區,合　計,35794,35096890,981,662,371,1182,1445.34,147.4
左營區,自立里,6,6427,1071,1071,494,1664,713.65,66.63
左營區,崇實里,1121,1073230,957,774,480,1159,934.41,97.6
左營區,合羣里,672,552891,823,595,347,1005,788.74,95.87
左營區,復興里,22,17810,810,482,233,931,1202.98,148.6
左營區,自治里,1,1710,1710,1710,1710,1710,0,0
左營區,頂西里,256,184123,719,566,330,899,639.71,88.94
左營區,頂北里,147,101566,691,502,274,801,802.43,116.14
左營區,中北里,159,118474,745,533,344,886,717.98,96.36
左營區,中南里,114,81032,711,526,370,826,609.75,85.78
左營區,自助里,143,108906,762,631,406,886,671.28,88.14
左營區,自勉里,3,1844,615,708,546,730,200.81,32.66
左營區,尾西里,299,195973,655,511,288,927,503.18,76.77
左營區,尾北里,849,635603,749,578,353,924,675.18,90.19
左營區,廍南里,171,127163,744,494,273,841,937.84,126.11
左營區,廟東里,171,102441,599,486,312,745,466.38,77.85
左營區,廟北里,215,129708,603,442,293,722,546.2,90.54
左營區,尾南里,160,97763,611,462,259,841,580.84,95.06
左營區,廍北里,91,80674,887,592,385,864,1429.09,161.2
左營區,埤東里,245,255980,1045,504,317,945,3235.82,309.7
左營區,埤北里,307,211404,689,550,303,895,573.79,83.33
左營區,新上里,8358,9664150,1156,779,413,1437,2157.23,186.57
左營區,新中里,1548,1362923,880,602,373,1054,874.64,99.34
左營區,新下里,4244,4375513,1031,738,399,1290,1099.79,106.67
左營區,聖后里,222,137023,617,461,293,762,523.83,84.87
左營區,聖西里,71,48405,682,511,341,716,984.65,144.43
左營區,聖南里,143,112090,784,565,346,1037,682.1,87.02
左營區,埤西里,294,222003,755,504,309,865,899.15,119.07
左營區,路東里,214,175116,818,634,344,1017,717.63,87.7
左營區,城南里,148,102911,695,540,274,1033,559.43,80.45
左營區,進學里,411,277578,675,536,328,890,515.14,76.28
左營區,屏山里,359,257783,718,548,344,895,782.9,109.03
左營區,果惠里,344,224793,653,515,323,798,550.46,84.24
左營區,果貿里,797,595033,747,622,354,956,683.37,91.53
左營區,海勝里,1424,970788,682,569,340,880,550.35,80.73
左營區,莒光里,545,361461,663,547,315,919,485.63,73.22
左營區,永清里,301,312897,1040,1013,875,1186,350.89,33.76
左營區,果峰里,383,248276,648,541,355,834,469.35,72.4
左營區,光輝里,886,706800,798,599,335,1094,730.26,91.54
左營區,菜公里,9078,9373976,1033,787,432,1312,1065.79,103.21
左營區,祥和里,66,44137,669,610,356,884,441.57,66.03
左營區,新光里,4304,4395420,1021,746,418,1274,1196.19,117.13
左營區,明建里,332,305761,921,840,434,1158,648.01,70.36
左營區,福山里,10403,10298364,990,753,433,1249,912.21,92.15
左營區,其　他,16,18089,1131,689,265,1097,1561.59,138.13
左營區,合　計,50043,48676013,973,708,397,1213,1260.74,129.61
楠梓區,東寧里,1118,993413,889,676,395,1125,733.86,82.59
楠梓區,享平里,953,787657,827,603,339,1015,795.83,96.29
楠梓區,五常里,1660,1202603,724,579,358,947,563.58,77.79
楠梓區,惠民里,1189,936527,788,580,346,1013,746.91,94.83
楠梓區,中陽里,778,576083,740,536,340,897,701.82,94.78
楠梓區,清豐里,6008,5135880,855,692,410,1128,680.37,79.59
楠梓區,稔田里,438,344219,786,620,364,990,729.1,92.77
楠梓區,玉屏里,688,542026,788,617,367,960,727.64,92.36
楠梓區,錦屏里,1019,830214,815,627,369,1065,702.36,86.21
楠梓區,金田里,952,753896,792,602,357,1058,669.28,84.52
楠梓區,廣昌里,898,638693,711,582,355,942,532.49,74.87
楠梓區,福昌里,594,469534,790,606,370,1025,634.83,80.31
楠梓區,泰昌里,391,285914,731,565,356,849,625.1,85.49
楠梓區,興昌里,1258,1087712,865,694,406,1165,682.09,78.89
楠梓區,建昌里,801,617051,770,599,369,974,676.61,87.83
楠梓區,中和里,509,436322,857,670,376,1100,834.78,97.38
楠梓區,中興里,460,390754,849,678,415,1049,663.49,78.11
楠梓區,藍田里,1495,1558523,1042,798,466,1342,936.35,89.82
楠梓區,宏毅里,836,798019,955,776,409,1312,787.43,82.49
楠梓區,宏南里,650,874952,1346,1021,472,2037,1096.66,81.47
楠梓區,宏榮里,890,893629,1004,802,443,1290,835.9,83.25
楠梓區,和昌里,629,485697,772,586,355,1006,625.7,81.03
楠梓區,隆昌里,1021,800225,784,573,333,1028,720.94,91.98
楠梓區,惠楠里,756,578742,766,586,349,1025,619.71,80.95
楠梓區,瑞屏里,1215,985131,811,614,371,1048,729.61,89.99
楠梓區,大昌里,531,353262,665,532,338,875,511.65,76.91
楠梓區,裕昌里,1075,1011046,941,723,416,1169,1444.34,153.57
楠梓區,加昌里,2525,2036779,807,630,384,1052,662.55,82.14
楠梓區,仁昌里,1514,1126469,744,600,386,939,553.9,74.44
楠梓區,惠豐里,1553,1242016,800,632,374,1011,1081.37,135.21
楠梓區,翠屏里,4379,3518330,803,632,380,1052,887.07,110.41
楠梓區,久昌里,726,504597,695,573,364,933,464.18,66.79
楠梓區,盛昌里,1766,1574455,892,679,407,1139,1279.84,143.55
楠梓區,宏昌里,993,831973,838,662,378,1068,718.84,85.8
楠梓區,秀昌里,651,561353,862,645,373,1115,742.05,86.06
楠梓區,慶昌里,1130,1068420,946,695,386,1271,1062.15,112.34
楠梓區,國昌里,1040,807047,776,591,374,985,636.06,81.97
楠梓區,其　他,5,4925,985,865,723,1407,527.82,53.58
楠梓區,合　計,45094,37644089,835,642,381,1083,807.89,96.78
三民區,鼎金里,1033,809123,783,618,363,979,688.24,87.87
三民區,鼎西里,2051,1603479,782,608,373,965,751.82,96.17
三民區,本館里,2631,2236249,850,626,388,1051,799.76,94.09
三民區,寶獅里,1169,1018368,871,615,360,1090,826.02,94.82
三民區,灣子里,1168,1041597,892,659,361,1069,989.44,110.95
三民區,安東里,1075,1015027,944,635,360,1141,1307.44,138.47
三民區,安生里,468,373583,798,553,337,989,852.39,106.78
三民區,港東里,406,328199,808,524,269,914,1387.1,171.59
三民區,港西里,192,141679,738,552,280,967,681.05,92.29
三民區,港北里,2,764,382,382,329,436,151.02,39.52
三民區,博愛里,391,302069,773,545,324,909,812.66,105.19
三民區,建東里,330,235775,714,571,326,902,596.27,83.46
三民區,鳳南里,253,180417,713,535,316,876,649.1,91.02
三民區,鳳北里,400,294902,737,534,306,911,716.54,97.19
三民區,德東里,272,217756,801,573,323,1005,790.97,98.8
三民區,德西里,276,256807,930,630,357,1104,1110.73,119.37
三民區,德北里,601,512122,852,627,360,1050,804.02,94.36
三民區,川東里,360,283468,787,597,332,999,713.95,90.67
三民區,千歲里,355,289156,815,555,315,1010,814.68,100.02
三民區,千北里,352,253571,720,528,304,914,667.7,92.69
三民區,興德里,516,438725,850,640,346,1055,841.94,99.02
三民區,正興里,3817,3715153,973,722,404,1244,898.91,92.36
三民區,十全里,494,452763,917,628,360,1071,1155.83,126.11
三民區,豐裕里,730,511431,701,531,330,865,624.4,89.12
三民區,力行里,346,233556,675,485,293,808,667.95,98.95
三民區,立誠里,226,212904,942,574,325,1116,1291.29,137.07
三民區,立德里,365,282575,774,575,323,978,709.74,91.68
三民區,達德里,536,563666,1052,642,358,1158,1485.54,141.26
三民區,灣華里,803,648071,807,607,361,1045,706.34,87.52
三民區,灣中里,1601,1265835,791,602,360,965,726.12,91.84
三民區,灣復里,1020,748150,733,555,351,891,673.28,91.79
三民區,灣興里,615,723703,1177,722,408,1423,1825.54,155.13
三民區,寶珠里,1620,1350695,834,605,350,1032,942.31,113.02
三民區,民享里,726,640329,882,599,331,1056,968.4,109.8
三民區,安宜里,971,789621,813,583,346,1039,758.75,93.3
三民區,同德里,943,880429,934,625,362,1145,1087.31,116.46
三民區,精華里,512,467066,912,620,359,1117,989.66,108.49
三民區,長明里,361,285599,791,516,298,912,1306.85,165.19
三民區,裕民里,384,341568,889,671,370,1137,793.8,89.24
三民區,寶龍里,1285,1192084,928,621,349,1107,1072.78,115.64
三民區,港新里,508,501726,988,614,327,1066,1677.53,169.85
三民區,博惠里,1353,1194676,883,595,355,1081,1146.71,129.87
三民區,立業里,278,215749,776,596,361,947,762.64,98.27
三民區,十美里,622,545543,877,613,344,1057,961.09,109.58
三民區,德行里,365,328826,901,608,370,1071,893.98,99.23
三民區,安邦里,1191,1034704,869,622,349,1113,857.91,98.75
三民區,千秋里,558,337119,604,505,321,772,500.44,82.83
三民區,灣勝里,555,387063,697,524,312,821,736.6,105.62
三民區,灣利里,933,658679,706,545,336,909,568.59,80.54
三民區,達明里,521,452259,868,574,323,1054,981.35,113.05
三民區,達勇里,332,330168,994,666,346,1213,1126.36,113.26
三民區,達仁里,514,467426,909,625,336,1225,904.25,99.43
三民區,灣愛里,745,517481,695,549,340,830,752.31,108.31
三民區,安和里,838,743338,887,587,334,987,1471.54,165.89
三民區,德智里,735,669704,911,614,349,1166,974.69,106.97
三民區,寶興里,2088,1870340,896,614,358,1054,2202.46,245.88
三民區,安康里,608,370066,609,510,322,782,448.17,73.63
三民區,安寧里,386,248179,643,517,317,759,521.85,81.16
三民區,鼎盛里,2224,1847973,831,633,377,1037,752.49,90.56
三民區,鼎泰里,6838,7618972,1114,793,442,1393,1260.25,113.11
三民區,本武里,482,422715,877,662,376,1070,788.26,89.88
三民區,本文里,657,521560,794,569,330,940,1288.43,162.3
三民區,寶盛里,1699,1534541,903,664,373,1141,837.1,92.68
三民區,寶華里,1125,1073345,954,694,389,1238,845.58,88.63
三民區,寶民里,1014,910280,898,641,370,1097,869.05,96.81
三民區,寶中里,940,732817,780,555,340,941,749.75,96.17
三民區,寶玉里,2526,2267894,898,659,376,1164,1200.84,133.75
三民區,灣成里,637,508073,798,622,349,1013,690.1,86.52
三民區,安吉里,1465,1336213,912,625,355,1117,1405.99,154.15
三民區,安泰里,1271,1126607,886,621,350,1122,918.87,103.66
三民區,德仁里,659,746519,1133,644,375,1084,5616.96,495.84
三民區,寶國里,2464,2366169,960,700,390,1220,1116.73,116.29
三民區,正順里,1134,997190,879,626,339,1120,840.51,95.58
三民區,安發里,1491,1401751,940,606,338,1134,1235.01,131.36
三民區,鼎中里,1082,901513,833,596,356,1025,955.14,114.64
三民區,寶業里,1587,1490491,939,665,365,1198,899.1,95.73
三民區,寶慶里,890,699580,786,579,338,1021,679.02,86.38
三民區,寶德里,1562,1300353,832,596,363,1033,783.21,94.08
三民區,寶泰里,1186,1032447,871,594,342,1091,852.05,97.88
三民區,寶安里,2289,2110999,922,643,369,1161,1108.15,120.16
三民區,本元里,1703,1573976,924,653,384,1163,1189.05,128.65
三民區,本安里,1529,1540255,1007,666,389,1273,1007.57,100.02
三民區,本上里,1643,1892604,1152,764,408,1552,1182.21,102.63
三民區,本揚里,2421,2396534,990,700,380,1278,961.08,97.09
三民區,鼎力里,1169,982599,841,622,347,1086,895.03,106.48
三民區,鼎強里,1124,850660,757,584,358,959,643.18,84.99
三民區,本和里,2392,2225939,931,680,384,1181,924.54,99.35
三民區,其　他,24,19345,806,457,287,874,836.16,103.74
三民區,合　計,92013,82440993,896,631,363,1108,1140.22,127.26
新興區,大明里,322,255457,793,564,308,904,831.9,104.86
新興區,明莊里,179,182716,1021,557,290,1027,1924.16,188.5
新興區,仁聲里,301,272455,905,561,316,1288,952.23,105.2
新興區,漢民里,253,208326,823,517,295,963,960.98,116.71
新興區,華聲里,336,374846,1116,663,333,1193,2340.72,209.81
新興區,玉衡里,267,207848,778,580,303,936,879.76,113.01
新興區,榮治里,249,469683,1886,819,371,1822,3517.44,186.47
新興區,浩然里,678,680244,1003,645,348,1216,1227.99,122.39
新興區,振成里,460,522026,1135,618,343,1176,2025.15,178.45
新興區,德生里,1143,1478111,1293,677,365,1513,1896.31,146.64
新興區,成功里,409,518776,1268,702,362,1338,2141.59,168.84
新興區,愛平里,340,339139,997,647,360,1260,1091.68,109.44
新興區,新江里,407,386762,950,518,282,1002,3023.83,318.21
新興區,黎明里,250,245960,984,500,312,1067,2214.72,225.11
新興區,秋山里,264,190854,723,551,252,888,680.26,94.1
新興區,長驛里,263,205780,782,546,317,963,792.71,101.31
新興區,建興里,257,197027,767,516,314,895,755.27,98.52
新興區,德望里,753,755509,1003,644,345,1152,1308.66,130.43
新興區,中東里,833,801711,962,578,315,1057,1803.99,187.44
新興區,東坡里,385,321269,834,562,310,1012,1052.32,126.11
新興區,蕉園里,246,232961,947,623,346,1135,1143.52,120.75
新興區,德政里,225,199775,888,617,334,1102,1005.28,113.22
新興區,南港里,660,560270,849,567,317,962,1248.89,147.12
新興區,開平里,1239,1790383,1445,769,403,1490,5414.5,374.7
新興區,光耀里,757,673023,889,632,324,1086,1369.37,154.02
新興區,永寧里,505,477763,946,609,346,1115,1255.57,132.71
新興區,順昌里,669,645357,965,598,344,980,4107.54,425.8
新興區,正氣里,523,567101,1084,633,333,1297,1640.02,151.25
新興區,建華里,280,346241,1237,546,288,1086,5589.79,452.04
新興區,振華里,430,462136,1075,616,320,1311,1584.89,147.47
新興區,文昌里,1012,1239469,1225,720,362,1442,2256.69,184.25
新興區,興昌里,634,651765,1028,652,338,1169,1509.11,146.8
新興區,其　他,2,2525,1262,1262,957,1568,863.85,68.43
新興區,合　計,15531,16463271,1060,627,334,1178,2478.96,233.86
前金區,青山里,571,673495,1180,719,387,1348,1912.22,162.12
前金區,長興里,353,319074,904,588,326,1087,1273.28,140.87
前金區,民生里,262,257419,983,678,325,1131,1137.22,115.75
前金區,東金里,342,415492,1215,698,320,1446,1799.32,148.11
前金區,林投里,233,296880,1274,536,277,881,4818.66,378.18
前金區,後金里,268,275225,1027,645,358,1237,1502.21,146.28
前金區,文東里,419,440172,1051,639,327,1173,1503.59,143.13
前金區,長生里,581,594740,1024,644,336,1334,1179.83,115.26
前金區,博孝里,327,306201,936,556,315,1186,1072.58,114.54
前金區,復元里,362,375690,1038,665,335,1303,1106.13,106.58
前金區,社東里,661,833383,1261,736,391,1380,1798.76,142.67
前金區,社西里,390,407922,1046,665,363,1200,1284,122.76
前金區,國民里,352,500571,1422,666,367,1508,2410.75,169.52
前金區,新生里,1255,1341252,1069,703,367,1310,1461.29,136.73
前金區,北金里,232,202394,872,560,327,998,976.29,111.91
前金區,榮復里,367,262481,715,526,286,898,694.94,97.17
前金區,文西里,321,277796,865,551,344,900,1296.95,149.87
前金區,草江里,392,356692,910,618,329,1166,912.94,100.33
前金區,長城里,392,319754,816,579,334,1028,807.38,98.98
前金區,三川里,200,123375,617,465,289,708,631.59,102.39
前金區,其　他,3,1401,467,226,170,643,517.1,110.73
前金區,合　計,8283,8581409,1036,634,343,1192,1629.6,157.29
苓雅區,博仁里,242,319629,1321,632,380,1539,2296.62,173.88
苓雅區,苓洲里,463,441960,955,590,321,1209,1112.58,116.56
苓雅區,苓昇里,368,257815,701,556,324,914,575.93,82.21
苓雅區,苓雅里,488,426019,873,602,353,1026,949.14,108.72
苓雅區,苓中里,492,372342,757,547,323,961,732.9,96.84
苓雅區,苓東里,453,379567,838,524,306,927,1032.15,123.18
苓雅區,城東里,734,711143,969,694,390,1223,1041.73,107.52
苓雅區,城北里,488,519696,1065,631,361,1152,2391.14,224.53
苓雅區,城西里,165,105357,639,462,283,763,690.36,108.12
苓雅區,意誠里,1065,853832,802,578,345,968,1059.37,132.14
苓雅區,鼓中里,301,242408,805,592,320,972,835.23,103.71
苓雅區,田西里,476,405587,852,622,343,1079,895.74,105.12
苓雅區,日中里,808,723188,895,595,331,1124,928.31,103.72
苓雅區,美田里,405,346135,855,621,314,1040,914.61,107.02
苓雅區,林西里,531,444218,837,566,351,1042,909.67,108.74
苓雅區,林南里,1097,1265988,1154,752,393,1402,1711.5,148.3
苓雅區,林德里,616,693894,1126,682,390,1371,1285.95,114.16
苓雅區,福海里,344,264746,770,585,345,934,670.36,87.1
苓雅區,福南里,568,427776,753,525,309,920,885.99,117.64
苓雅區,福西里,466,299568,643,513,312,793,570.25,88.71
苓雅區,福東里,826,589719,714,574,329,952,606.43,84.94
苓雅區,五福里,1237,988677,799,557,335,960,928.09,116.12
苓雅區,仁政里,487,550299,1130,679,358,1287,1703.39,150.75
苓雅區,凱旋里,673,757314,1125,723,408,1298,1446.49,128.54
